Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-04-17,-5.42%,-2.90%,-1.63%,0.29%,-2.95%,-3.66%,-7.75%,-5.34%,-4.16%,6.01%
2021-04-16,9.77%,0.25%,3.14%,15.93%,27.69%,3.46%,0.79%,10.57%,4.72%,6.64%
2021-04-15,6.69%,-0.78%,16.71%,0.08%,1.70%,5.83%,10.66%,4.59%,2.01%,5.57%
2021-04-14,0.56%,6.29%,7.27%,3.62%,2.82%,7.61%,-1.40%,-2.39%,-3.56%,4.05%
2021-04-13,6.65%,-0.38%,-2.22%,1.96%,-2.87%,-0.65%,13.75%,3.46%,22.62%,-4.35%
2021-04-12,1.30%,0.59%,6.05%,1.70%,5.43%,0.76%,-2.48%,-0.48%,0.43%,0.94%
2021-04-11,2.42%,2.79%,1.12%,-0.45%,-0.64%,3.33%,-0.07%,-1.91%,0.99%,-2.44%
2021-04-10,-3.28%,0.03%,-3.76%,-0.65%,-3.01%,-0.64%,0.58%,-2.56%,-2.31%,-3.15%
2021-04-09,6.44%,3.83%,5.47%,3.38%,6.45%,5.81%,3.10%,2.98%,5.84%,7.54%
2021-04-08,-9.04%,-3.53%,-10.45%,-8.46%,-8.96%,-6.92%,-8.19%,-12.37%,-8.87%,6.01%
2021-04-07,-3.76%,-1.72%,7.32%,-5.70%,-4.44%,0.26%,1.27%,6.60%,1.64%,7.69%
2021-04-06,-1.65%,1.38%,5.15%,-6.67%,6.73%,1.48%,-1.46%,0.22%,-0.45%,2.20%
2021-04-05,6.97%,2.08%,5.42%,14.47%,6.42%,3.43%,3.17%,7.24%,5.61%,5.20%
2021-04-04,-9.94%,-3.33%,-10.12%,-0.86%,-12.90%,-6.01%,-10.01%,-10.01%,-3.05%,-9.02%
2021-04-03,9.43%,0.17%,7.24%,5.05%,0.99%,8.26%,10.25%,11.62%,5.44%,6.66%
2021-04-02,0.40%,0.06%,3.01%,15.19%,6.10%,2.91%,1.36%,8.64%,2.15%,1.96%
