Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-05-14,0.62%,61.12%,3.04%,0.51%,0.36%,30.94%,0.27%,0.31%,2.64%,0.19%,100.00%
2021-05-13,0.55%,63.23%,2.92%,0.52%,0.34%,29.24%,0.22%,0.28%,2.53%,0.16%,100.00%
2021-05-12,0.56%,62.43%,2.81%,0.50%,0.35%,30.15%,0.23%,0.28%,2.51%,0.17%,100.00%
2021-05-11,0.44%,63.85%,2.93%,0.52%,0.30%,29.02%,0.20%,0.25%,2.32%,0.18%,100.00%
2021-05-10,0.43%,64.74%,2.90%,0.48%,0.29%,28.35%,0.19%,0.23%,2.26%,0.14%,100.00%
2021-05-09,0.44%,65.50%,3.11%,0.46%,0.31%,27.25%,0.20%,0.24%,2.37%,0.12%,100.00%
2021-05-08,0.45%,65.87%,2.90%,0.47%,0.32%,26.99%,0.21%,0.25%,2.42%,0.12%,100.00%
2021-05-07,0.45%,67.29%,3.08%,0.45%,0.34%,25.30%,0.22%,0.26%,2.49%,0.12%,100.00%
2021-05-06,0.46%,66.93%,3.00%,0.47%,0.31%,25.66%,0.23%,0.26%,2.56%,0.12%,100.00%
2021-05-05,0.48%,66.95%,3.09%,0.49%,0.29%,25.48%,0.20%,0.25%,2.65%,0.13%,100.00%
2021-05-04,0.49%,66.93%,3.08%,0.50%,0.29%,25.25%,0.19%,0.25%,2.90%,0.12%,100.00%
2021-05-03,0.52%,67.63%,2.66%,0.52%,0.31%,25.09%,0.20%,0.27%,2.68%,0.12%,100.00%
2021-05-02,0.51%,70.02%,2.61%,0.54%,0.32%,22.61%,0.20%,0.26%,2.81%,0.12%,100.00%
2021-05-01,0.52%,70.50%,2.68%,0.53%,0.33%,22.24%,0.21%,0.27%,2.61%,0.12%,100.00%
2021-04-30,0.47%,71.64%,2.52%,0.49%,0.33%,21.27%,0.21%,0.27%,2.68%,0.12%,100.00%
