Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,DAI
2021-06-26,187.2289489,31627.64041,16.88053042,222.4082735,1.445436971,1813.018614,6.3115397,5.82977724,15.82638273,28285.97752,1.000203473
2021-06-25,211.3452796,34672.03813,19.0389008,256.3374662,1.679469174,1989.098427,7.050074641,6.63312038,18.09752844,31349.00099,1.000275265
2021-06-24,207.7471894,33653.45918,18.37031553,241.8306906,1.503982992,1968.399336,7.060360918,6.651278117,17.79521597,30987.54951,1.000378366
2021-06-23,205.6285634,32488.85826,16.79030196,234.43687,1.40027244,1874.95134,6.800937047,6.323592259,16.36784692,28613.61036,1.000723354
2021-06-22,213.4059454,31685.11087,17.44024344,222.2944419,1.450496767,1891.003963,6.645254773,6.577027521,15.83979345,29442.04402,1.00143071
2021-06-21,272.9286105,35604.00294,21.66153837,293.633721,1.924633369,2243.592212,8.424405282,8.46420466,20.70662868,36070.73993,1.00069779
2021-06-20,255.5679074,35550.71962,20.36199393,272.8914875,1.858822468,2172.798772,7.496950921,8.098878736,19.83989131,33319.20378,1.000912711
2021-06-19,265.013711,35701.93096,21.23447913,278.2379402,1.918908567,2228.704091,7.80652199,8.307606251,20.3887572,34129.34751,1.001413011
2021-06-18,292.9615889,38031.89535,23.4021843,306.802305,2.0928779,2370.294266,8.46439975,8.999550284,22.13124147,36270.37937,1.000975951
2021-06-17,290.3386969,38340.04087,23.01227496,304.8432822,2.065100332,2367.877442,8.496198308,9.042144757,21.80125887,36397.21629,1.001066295
2021-06-16,311.8357061,40143.31358,24.53397381,325.2645775,2.238431053,2544.099447,9.107697779,9.727783992,23.42368958,38896.7431,1.001033907
2021-06-15,318.0929902,40878.68448,24.98884943,336.689375,2.278935923,2589.768828,9.258236555,10.09185108,24.16613336,39384.30126,1.000873444
2021-06-14,316.52,39020.78744,23.37190913,324.1584994,2.2074,2510.310216,8.649056122,9.1301,23.272,38574.54407,1.00105307
2021-06-13,278.4754062,35528.06743,21.66687662,296.1746512,2.080414985,2371.603108,7.846479676,8.459741729,21.28290515,36303.61958,1.001040319
2021-06-12,284.9568547,37320.3993,21.46936053,294.7605187,2.155399444,2351.924012,8.562162215,8.632724689,21.66218534,36865.72115,1.001298048
2021-06-11,310.025749,36689.35678,23.09221826,327.4957421,2.261102742,2471.347545,9.396001684,9.925303908,23.55426072,37803.0012,1.0011
2021-06-10,338.6796346,37335.20618,25.57211597,363.8188537,2.523138017,2608.147611,10.53991941,10.88368104,25.10494645,40492.80374,1.000170441
2021-06-09,330.5293936,33454.84242,24.10305889,351.7241058,2.329433781,2515.752336,10.06869791,10.44239236,23.49909397,39796.16887,1.000981643
2021-06-08,334.0637278,33567.02144,24.5210373,342.8091904,2.143401461,2592.39645,10.256,10.80424496,24.20441065,40448.01262,1.001367972
2021-06-07,365.5952043,35837.74876,27.53559485,388.5266278,2.451704162,2713.962801,11.54827835,11.90602545,25.823,43082.84408,1.001291207
2021-06-06,356.7495648,35620.45166,27.12128529,387.3451624,2.5270761,2629.794348,11.55277614,11.65069637,25.61043004,42232.3912,1.000792838
2021-06-05,373.5599518,36879.49783,28.8711372,401.5690503,2.679753613,2687.968681,11.8545659,12.20620934,26.43472286,42664.63517,1.001056976
2021-06-04,397.6939766,39206.96045,32.19522098,449.2674733,2.501856055,2854.592784,13.19516448,13.53540387,28.64956332,45826.33505,1.001266541
2021-06-03,383.8909406,37562.27446,30.63982761,434.4818762,2.335545984,2704.886923,12.53702713,12.82809558,27.60686659,45199.53129,1.000836836
2021-06-02,372.817679,36683.37035,30.71590045,427.4114514,2.047430634,2634.230563,12.05249199,12.69194678,27.40892761,45080.11023,1.00084
2021-06-01,381.7296235,37299.40902,32.06907154,436.4613836,1.962840498,2710.857539,12.50285359,13.47719885,28.22884679,46965.15207,1.001
2021-05-31,324.1364036,35656.93755,26.7544343,405.8,1.673058396,2384.949344,10.774,11.849,25.60970714,41842.76536,1.001013549
2021-05-30,298.452877,34642.82153,25.44544744,354.6954405,1.744389653,2281.450146,10.064,10.91572342,23.19483753,39183.03289,1.000903785
2021-05-29,320.4452918,35770.10122,27.95089765,377.4192775,1.590028311,2422.751963,10.6068617,11.95348735,25.88477156,41053.89315,1.000980298
2021-05-28,370.8912727,38418.17001,31.73927197,420.4678257,1.744678451,2735.852678,12.07541885,13.33324101,28.37920037,46889.50395,1.000907307
2021-05-27,415.34,39302.5883,33.646,464.2411591,1.894793554,2889.43,13.434,14.546,28.7287,50247,1.001684965
2021-05-26,371.1221573,38375.44292,27.61389856,427.9630003,1.614730207,2707.814457,12.23559055,13.64404409,25.23459718,46924.17514,1.000988416
2021-05-25,386.095159,38720.28463,26.41675965,426.2722314,1.626332893,2646.02286,11.98713274,13.90374525,24.66884982,48447.02,1.001204896
2021-05-24,294.6807581,34841.88434,19.90561056,342.5344897,1.326204686,2110.237948,9.026130179,11.78870447,16.74261494,32783.38277,1.009405598
2021-05-23,334.6846941,37512.23399,23.28508487,384.0061263,1.627435595,2293.038632,11.06505668,14.87948844,20.39015642,38483.69731,1.001081876
2021-05-22,373.3040652,37329.2123,25.58339369,449.560095,1.851798952,2433.033187,12.915566,16.36163629,21.99303032,43786.16216,1.001702483
2021-05-21,469.6825335,40860.05139,31.58620228,548.9198824,2.212842163,2787.851918,15.12796693,16.26393295,26.42898962,51868,1.011
2021-05-20,418.4743755,36990.08319,25.79551634,471.5155532,1.978869273,2458.735651,12.89543995,14.3995,24.4796,46131.05222,1.000792057
2021-05-19,631.8138935,43024.41499,42.5974213,666.8476939,3.494401937,3382.809578,21.45463124,23.26156877,35.07171839,73001.75172,0.999145922
2021-05-18,575.2439436,43705.25265,37.27160228,698.3818447,3.089040852,3288.477503,16.19414866,20.30913665,33.90274199,64362.44304,1.00051335
2021-05-17,527.4,46471.92245,40.71647257,684.2342334,3.2749,3584.562175,16.55111272,18.83918616,36.320902,65981.25053,1.002561763
2021-05-16,516.3619262,46950.80067,41.51767016,689.650986,3.210420548,3646.567557,16.19306853,19.2362324,36.59621725,67254.23,1.000257476
2021-05-15,595.517735,49904.84803,46.55647529,775.9782466,3.681463211,4083.899472,18.53843622,21.14034889,40.4537851,77754.48261,1.0011
2021-05-14,508.4521716,49820.50042,43.09131849,765.4122505,3.360336497,3717.536428,14.769,23.70994533,37.31246487,66100.71112,1.000231434
2021-05-13,494.1251315,48698.05972,41.653161,726.9733118,3.21320034,3765.096256,14.9162,84.25522985,36.785,65490,1.00023
2021-05-12,457.4398162,56755.75447,48.85796873,854.6182576,3.317787144,4175.416233,15.24612205,18.42996878,38.54698264,82911.2698,1.0002
2021-05-11,433.2626983,56044.03808,46.39486515,784.5524955,3.10136547,3955.356516,13.84309193,16.2747854,36.6376,62200.9979,1.001782484
2021-05-10,460.2253224,58298.1413,53.5892446,771.4357112,3.445735751,3934.788465,15.486,17.80880854,39.49203004,53450.78556,1.01494807
2021-05-09,466.9987882,58855.23904,48.73065272,783.701017,3.571432588,3910.762582,16.30209534,18.44509095,40.49594816,54222.58351,1.002315252
2021-05-08,445.8050219,57380.12527,49.19590226,715.5403713,3.656318287,3485.641728,15.82948957,18.769073,39.7103298,53403.17,1.00226
2021-05-07,453.276012,56431.63976,47.17388027,741.27,3.242361218,3492.531323,16.524,18.43787726,40.36020515,52374.64,1.003255392
2021-05-06,475.1089479,57497.21622,49.48236407,788.1211089,3.09487012,3526.898132,14.38351699,17.68112551,42.572,54582.95351,1.000561103
2021-05-05,461.0904437,53319.89363,45.57675118,741.306286,2.835389718,3250.447315,12.93750228,16.50357768,44.31365067,50301.93009,1.000723892
2021-05-04,517.8038242,57201.63713,42.06812758,832.0117396,3.247956152,3431.226175,14.39778646,18.849,40.94965944,51702.8058,1.007406821
2021-05-03,482.7519506,56601.41257,39.49644208,806.0990652,3.274580317,2950.878195,13.94765437,17.33319171,42.60305677,48543.92,1.001319853
2021-05-02,505.5683461,57837.39324,41.27898087,804.4182222,3.400253417,2947.059696,14.8656,18.15784674,40.3521,49830.48072,1.000372784
2021-05-01,444.7029764,57766.92929,38.15796709,742.6469792,3.335487544,2773.575586,14.36901942,18.23404506,40.66950426,48969.09387,1.001504176
